iter	Passed	Remaining
0	11	23426
1	20	20343
2	28	18734
3	37	18575
4	44	17857
5	53	17679
6	60	17197
7	72	18137
8	81	17956
9	92	18338
10	101	18338
11	110	18234
12	120	18400
13	129	18336
14	139	18458
15	147	18329
16	156	18199
17	164	18106
18	172	17945
19	180	17869
20	187	17714
21	196	17644
22	204	17547
23	212	17484
24	222	17600
25	235	17891
26	246	18031
27	256	18033
28	286	19449
29	320	21070
30	332	21148
31	349	21504
32	360	21499
33	370	21450
34	379	21333
35	391	21345
36	400	21248
37	410	21177
38	420	21146
39	430	21094
40	440	21061
41	451	21029
42	460	20947
43	470	20921
44	479	20850
45	490	20821
46	502	20866
47	511	20802
48	523	20844
49	533	20814
50	542	20728
51	552	20691
52	561	20608
53	570	20558
54	581	20572
55	591	20524
56	603	20561
57	615	20604
58	624	20540
59	635	20532
60	644	20489
61	653	20421
62	664	20424
63	672	20355
64	682	20318
65	693	20330
66	704	20332
67	717	20383
68	737	20634
69	759	20947
70	769	20911
71	783	20986
72	795	20992
73	807	21012
74	816	20960
75	828	20970
76	842	21028
77	852	21018
78	862	20966
79	875	21020
80	887	21031
81	897	20997
82	911	21058
83	923	21075
84	938	21148
85	949	21140
86	959	21087
87	968	21041
88	976	20970
89	988	20969
90	999	20975
91	1010	20948
92	1022	20960
93	1032	20937
94	1043	20915
95	1055	20934
96	1069	20976
97	1079	20949
98	1088	20909
99	1101	20934
100	1111	20905
101	1122	20880
102	1135	20921
103	1147	20915
104	1160	20952
105	1171	20939
106	1184	20964
107	1202	21058
108	1216	21110
109	1233	21198
110	1250	21280
111	1264	21310
112	1292	21590
113	1313	21733
114	1336	21909
115	1351	21953
116	1368	22031
117	1382	22044
118	1394	22039
119	1407	22043
120	1417	22010
121	1428	21991
122	1439	21973
123	1449	21936
124	1460	21901
125	1471	21881
126	1481	21848
127	1491	21806
128	1501	21781
129	1513	21764
130	1525	21757
131	1536	21740
132	1546	21715
133	1557	21686
134	1567	21654
135	1577	21614
136	1587	21584
137	1596	21542
138	1607	21521
139	1617	21493
140	1629	21485
141	1638	21438
142	1649	21416
143	1660	21401
144	1670	21377
145	1682	21368
146	1694	21362
147	1711	21421
148	1724	21420
149	1734	21391
150	1746	21387
151	1759	21392
152	1772	21393
153	1782	21364
154	1793	21352
155	1803	21323
156	1812	21277
157	1823	21256
158	1832	21216
159	1847	21242
160	1857	21214
161	1868	21199
162	1877	21158
163	1888	21139
164	1897	21099
165	1907	21075
166	1918	21054
167	1926	21011
168	1936	20981
169	1945	20939
170	1956	20923
171	1966	20900
172	1974	20857
173	1988	20870
174	1999	20851
175	2008	20813
